Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales (Raw),Innovation Type
South,Traditional Trade,BigCo,tea,Diet Soda,21295,12439,5.0,74.78,83.05,31.46,11.61,31.19,38.22,30.91,300000.50,2021/11/15,70 kiloliters,Completely New
central,Traditional Trade,BigCo,Soft Drinks,Green Tea,49332,7658,-2.5,33.83,77.66,39.65,28.54,8.24,44.9,45.77,500000.0,2022-03,85 kiloliters,New Flavor
SOUTH,Modern Trade,FreshDrinks,soft drinks,Diet Soda,56982,12141,15.0,58.52,67.79,6.63,10.54,30.62,21.93,32.51,100000,2020-12,70000 liters,Upsize
CENTRAL,Traditional Trade,FreshDrinks,Water,Green Tea,51483,13092,15.0,42.42,69.05,25.93,3.75,30.91,62.01,43.39,string_value,August 2021,85000 liters,New Flavor
NORTH,Modern Trade,MegaBeverages,soft drinks,Diet Soda,48099,12534,-2.5,37.67,70.87,38.95,29.91,4.28,30.8,37.9,100000,2022-03,85 kiloliters,New Segment
CENTRAL,Traditional Trade,MegaBeverages,water,Sparkling Water,82878,10285,unknown,69.69,85.98,13.03,8.77,2.71,31.42,40.37,100000,2021-08-01,70000 liters,New Flavor
south,Traditional Trade,MegaBeverages,Water,Herbal Tea,51823,17229,-2.5,94.98,78.25,8.15,25.69,39.01,40.04,30.91,100000,2021/11/15,70 kiloliters,Repackage
NORTH,Traditional Trade,MegaBeverages,Soft Drinks,Diet Soda,31819,18293,15.0,33.84,63.64,16.84,5.8,9.35,60.04,41.07,300000.50,2020-12,70 kiloliters,Downsize
Central,Modern Trade,MegaBeverages,WATER,Diet Soda,82470,14291,unknown,59.51,66.6,27.73,22.21,33.24,68.79,45.21,100000,2021/11/15,70 kiloliters,Completely New
Central,Modern Trade,MegaBeverages,tea,Sparkling Water,39176,17460,5.0,79.53,34.96,28.76,16.21,23.35,48.68,27.69,1200000,August 2021,70 kiloliters,New Flavor
CENTRAL,Traditional Trade,SmallBrand,TEA,Diet Soda,94275,16345,15.0,62.39,66.01,6.54,29.45,12.05,45.8,47.8,500000.0,2022-03,85 kiloliters,Upsize
South,Modern Trade,BigCo,SOFT DRINKS,Flavored Water,29715,25025,5.0,86.45,49.73,22.88,17.03,6.94,69.47,23.01,300000.50,2021/11/15,85 kiloliters,Downsize
SOUTH,Traditional Trade,FreshDrinks,Tea,Sparkling Water,55336,21467,unknown,42.58,30.71,13.41,1.73,20.87,25.12,20.37,1200000,2021/11/15,70000 liters,Repackage
CENTRAL,Modern Trade,BigCo,Water,Flavored Water,77502,15727,unknown,97.17,76.45,42.1,18.51,17.48,39.91,21.19,1200000,2021-08-01,85000 liters,Upsize
NORTH,Modern Trade,FreshDrinks,tea,Sparkling Water,66516,15709,5.0,56.96,55.72,15.68,5.21,28.56,57.67,29.6,string_value,2021/11/15,70000 liters,Repackage
North,Modern Trade,FreshDrinks,SOFT DRINKS,Diet Soda,67965,16746,10.5,53.91,88.42,41.94,24.16,36.36,62.93,39.08,string_value,2020-12,85000 liters,New Flavor
South,Traditional Trade,TinyStartups,soft drinks,Flavored Water,30076,19015,-2.5,91.22,39.72,21.43,25.84,32.6,31.11,44.7,1200000,2022-03,70 kiloliters,New Segment
NORTH,Modern Trade,BigCo,WATER,Diet Soda,98510,15187,-2.5,69.47,53.65,36.33,14.98,12.43,36.65,20.35,string_value,August 2021,70 kiloliters,Upsize
SOUTH,Modern Trade,MegaBeverages,Soft Drinks,Sparkling Water,31267,11549,10.5,66.15,51.36,25.5,23.71,35.4,37.34,48.84,500000.0,2021/11/15,70 kiloliters,New Flavor
CENTRAL,Traditional Trade,MegaBeverages,tea,Diet Soda,55526,12006,15.0,80.89,28.45,31.1,5.21,33.67,25.37,43.29,500000.0,2020-12,70 kiloliters,Upsize
SOUTH,Traditional Trade,FreshDrinks,SOFT DRINKS,Flavored Water,32226,15873,5.0,70.59,49.83,19.77,15.27,37.31,49.45,41.97,string_value,August 2021,85 kiloliters,Repackage
south,Traditional Trade,MegaBeverages,Water,Flavored Water,22790,15283,10.5,41.38,40.13,38.41,12.42,19.43,45.72,17.68,100000,2020-12,70000 liters,Completely New
CENTRAL,Traditional Trade,MegaBeverages,SOFT DRINKS,Diet Soda,126772,15518,15.0,77.19,31.22,21.26,18.73,31.21,47.77,20.29,1200000,2021/11/15,85000 liters,Upsize
North,Modern Trade,MegaBeverages,tea,Green Tea,45685,11560,15.0,39.34,39.75,22.87,2.29,24.48,22.54,45.64,500000.0,2021/11/15,85000 liters,Repackage
SOUTH,Modern Trade,MegaBeverages,Water,Sparkling Water,48427,21876,-2.5,86.41,36.33,25.88,22.81,13.8,26.43,46.49,string_value,2022-03,85 kiloliters,Downsize
south,Modern Trade,MegaBeverages,TEA,Sparkling Water,66482,12189,15.0,99.28,71.39,41.59,3.29,39.79,59.71,34.0,string_value,2021-08-01,70 kiloliters,New Segment
Central,Modern Trade,BigCo,WATER,Diet Soda,70794,14138,-2.5,56.42,22.15,32.97,20.04,3.46,75.4,49.52,500000.0,2020-12,70000 liters,New Flavor
north,Modern Trade,SmallBrand,soft drinks,Green Tea,41097,22969,15.0,61.13,63.22,17.46,1.54,8.17,57.92,38.48,500000.0,2021-08-01,70 kiloliters,Downsize
SOUTH,Traditional Trade,FreshDrinks,water,Flavored Water,37391,12077,5.0,33.25,73.25,33.52,25.12,35.92,61.7,26.61,100000,2021-08-01,85 kiloliters,New Flavor
Central,Modern Trade,SmallBrand,water,Herbal Tea,70286,14452,-2.5,30.96,53.65,32.12,6.07,4.3,30.91,41.8,string_value,August 2021,85000 liters,New Flavor
SOUTH,Modern Trade,BigCo,Soft Drinks,Herbal Tea,48557,23941,0,94.5,85.21,46.55,15.95,35.7,62.16,24.91,string_value,August 2021,85 kiloliters,Downsize
Central,Modern Trade,TinyStartups,Tea,Diet Soda,73411,19006,-2.5,39.0,69.55,42.07,8.58,29.18,20.39,31.09,300000.50,2020-12,85000 liters,Repackage
North,Traditional Trade,TinyStartups,soft drinks,Green Tea,50119,23965,10.5,61.2,72.35,32.37,21.96,3.39,46.31,45.29,100000,2021-08-01,70000 liters,Downsize
North,Traditional Trade,FreshDrinks,Water,Green Tea,47674,10406,5.0,87.07,33.79,17.08,10.32,18.31,52.32,21.74,500000.0,2022-03,85000 liters,Completely New
north,Modern Trade,FreshDrinks,SOFT DRINKS,Sparkling Water,77284,14711,-2.5,92.25,74.41,38.98,22.01,30.67,32.67,46.9,500000.0,2021-08-01,70000 liters,Repackage
NORTH,Traditional Trade,MegaBeverages,water,Flavored Water,68945,15817,10.5,66.36,78.25,28.76,9.26,24.16,60.51,21.87,1200000,August 2021,70 kiloliters,New Flavor
south,Traditional Trade,TinyStartups,Soft Drinks,Green Tea,95600,8714,0,69.55,45.29,49.26,22.82,37.56,20.86,48.51,500000.0,2021-08-01,70 kiloliters,Upsize
south,Traditional Trade,MegaBeverages,Soft Drinks,Herbal Tea,26766,18763,10.5,76.88,34.94,12.38,1.89,34.97,57.31,45.8,string_value,2021/11/15,85 kiloliters,Downsize
NORTH,Traditional Trade,BigCo,tea,Flavored Water,32138,16490,10.5,97.3,46.95,3.98,9.22,14.64,57.47,22.64,500000.0,2021/11/15,70000 liters,Completely New
NORTH,Traditional Trade,MegaBeverages,water,Flavored Water,62330,12170,0,72.19,71.77,3.49,15.46,5.22,59.46,50.66,string_value,2022-03,70 kiloliters,Completely New
NORTH,Traditional Trade,SmallBrand,Tea,Diet Soda,53701,13328,5.0,69.16,49.23,32.0,2.31,37.88,47.35,33.29,string_value,2020-12,70000 liters,New Segment
South,Traditional Trade,TinyStartups,Water,Green Tea,38716,16647,unknown,31.02,71.57,46.96,6.39,21.66,46.47,41.08,100000,2021-08-01,70 kiloliters,Downsize
north,Modern Trade,SmallBrand,soft drinks,Diet Soda,33866,23967,-2.5,35.67,27.95,0.1,28.1,4.83,60.8,38.24,500000.0,2021/11/15,70 kiloliters,New Segment
north,Modern Trade,FreshDrinks,Water,Green Tea,61490,12127,-2.5,70.4,76.42,36.29,29.33,33.03,31.89,40.4,100000,2020-12,85000 liters,New Flavor
north,Traditional Trade,BigCo,TEA,Sparkling Water,83548,13460,unknown,95.54,37.72,32.85,22.45,35.0,33.69,35.25,string_value,2021/11/15,85 kiloliters,New Flavor
central,Modern Trade,BigCo,Tea,Diet Soda,39364,20152,0,90.67,37.43,36.62,8.31,26.3,27.12,31.98,500000.0,2020-12,85000 liters,Downsize
north,Modern Trade,BigCo,TEA,Diet Soda,54315,9727,5.0,98.78,61.33,17.77,8.56,19.01,25.2,23.91,500000.0,2020-12,70000 liters,Repackage
Central,Traditional Trade,BigCo,WATER,Herbal Tea,50601,17142,-2.5,66.95,24.91,41.02,19.73,27.16,51.9,54.44,100000,2021/11/15,70 kiloliters,Completely New
CENTRAL,Modern Trade,MegaBeverages,Tea,Diet Soda,90380,11030,5.0,85.16,21.84,2.24,4.41,28.85,21.18,32.32,100000,August 2021,85 kiloliters,Upsize
North,Traditional Trade,BigCo,Tea,Green Tea,26698,20708,-2.5,88.83,38.27,37.77,28.5,35.94,43.5,39.75,string_value,2020-12,70 kiloliters,New Segment
Central,Traditional Trade,MegaBeverages,tea,Herbal Tea,48643,15753,10.5,75.36,57.66,13.35,7.52,38.32,35.01,41.52,string_value,2021-08-01,70 kiloliters,Repackage
North,Traditional Trade,SmallBrand,SOFT DRINKS,Diet Soda,42569,17921,10.5,53.71,83.53,23.84,29.99,21.54,59.64,45.44,500000.0,2021/11/15,85000 liters,Downsize
SOUTH,Modern Trade,MegaBeverages,Soft Drinks,Diet Soda,77432,9062,5.0,62.9,79.25,41.13,15.38,32.34,34.59,48.66,500000.0,August 2021,70000 liters,Upsize
SOUTH,Modern Trade,TinyStartups,WATER,Sparkling Water,44587,22280,15.0,90.05,54.33,13.57,23.37,38.65,63.12,37.28,300000.50,2021/11/15,85 kiloliters,Downsize
south,Modern Trade,FreshDrinks,water,Diet Soda,42462,25027,unknown,50.9,22.59,9.26,1.06,7.75,56.28,21.33,300000.50,2022-03,85 kiloliters,Downsize
South,Modern Trade,BigCo,TEA,Flavored Water,48387,18002,-2.5,94.66,57.47,34.07,26.77,2.69,68.82,25.85,1200000,2021-08-01,85 kiloliters,Downsize
central,Traditional Trade,MegaBeverages,Soft Drinks,Herbal Tea,45910,13930,15.0,46.09,69.34,26.67,8.83,35.02,31.7,46.83,string_value,2022-03,70000 liters,Downsize
NORTH,Traditional Trade,BigCo,Tea,Flavored Water,86775,11695,10.5,82.47,43.74,25.72,20.37,9.42,56.12,27.02,1200000,2020-12,85 kiloliters,Repackage
NORTH,Modern Trade,MegaBeverages,TEA,Herbal Tea,45543,10434,unknown,74.14,27.77,12.84,24.38,3.61,58.02,30.05,1200000,2020-12,70000 liters,New Flavor
NORTH,Traditional Trade,FreshDrinks,soft drinks,Sparkling Water,60528,13361,5.0,82.47,39.5,1.74,5.76,8.08,19.7,24.07,100000,2022-03,85 kiloliters,Upsize
SOUTH,Traditional Trade,BigCo,SOFT DRINKS,Diet Soda,20396,21974,-2.5,60.61,74.01,20.51,13.83,16.6,66.33,45.56,100000,2022-03,70 kiloliters,Downsize
South,Modern Trade,BigCo,Soft Drinks,Diet Soda,44338,14000,10.5,95.28,44.59,5.33,15.32,10.33,73.39,36.7,300000.50,2020-12,70000 liters,New Flavor
north,Traditional Trade,MegaBeverages,water,Diet Soda,97828,12250,5.0,74.27,76.84,45.3,10.05,13.6,55.3,39.9,1200000,August 2021,85000 liters,Completely New
SOUTH,Modern Trade,SmallBrand,WATER,Herbal Tea,56998,15158,-2.5,50.18,42.37,2.06,14.97,39.06,68.36,45.09,300000.50,2021-08-01,85 kiloliters,New Flavor
north,Traditional Trade,FreshDrinks,TEA,Diet Soda,129292,18166,-2.5,74.69,31.45,21.58,10.21,28.77,45.27,39.57,string_value,2021/11/15,85000 liters,Upsize
NORTH,Modern Trade,FreshDrinks,water,Flavored Water,69654,20395,10.5,50.08,50.51,2.61,11.46,29.06,45.07,37.81,500000.0,2022-03,70000 liters,Repackage
north,Traditional Trade,BigCo,SOFT DRINKS,Diet Soda,54110,15298,5.0,50.55,51.66,4.78,20.41,5.6,34.33,41.06,100000,2021-08-01,70 kiloliters,New Flavor
north,Traditional Trade,FreshDrinks,soft drinks,Sparkling Water,72536,23263,15.0,57.97,21.13,32.94,19.35,29.82,48.65,39.69,string_value,2021/11/15,85000 liters,Repackage
NORTH,Modern Trade,FreshDrinks,water,Flavored Water,30697,25727,0,89.67,28.19,32.36,7.74,30.1,57.62,23.41,string_value,2021/11/15,85000 liters,Downsize
NORTH,Modern Trade,FreshDrinks,tea,Diet Soda,85252,14885,15.0,65.02,32.94,1.65,27.03,27.07,39.94,31.43,100000,2022-03,70 kiloliters,New Flavor
north,Modern Trade,SmallBrand,tea,Diet Soda,27395,12386,-2.5,77.52,27.95,0.06,26.02,10.68,47.02,21.04,100000,August 2021,70 kiloliters,Completely New
South,Modern Trade,MegaBeverages,WATER,Green Tea,71158,7225,5.0,57.44,43.91,3.94,15.76,18.08,30.66,26.48,1200000,August 2021,70000 liters,New Flavor
NORTH,Traditional Trade,SmallBrand,TEA,Herbal Tea,39764,22264,5.0,48.45,87.52,38.15,13.56,34.16,57.56,28.38,300000.50,2021-08-01,85 kiloliters,Downsize
NORTH,Traditional Trade,SmallBrand,Tea,Flavored Water,42756,18524,10.5,96.82,55.65,29.23,11.93,27.47,62.58,31.62,string_value,2021-08-01,85000 liters,New Flavor
South,Modern Trade,BigCo,tea,Green Tea,67487,7927,10.5,72.25,63.93,1.91,21.51,29.85,58.9,45.02,1200000,2020-12,85000 liters,New Flavor
South,Traditional Trade,MegaBeverages,Soft Drinks,Sparkling Water,34758,15978,-2.5,95.38,44.95,24.4,20.48,24.32,56.92,26.23,1200000,August 2021,70000 liters,Repackage
SOUTH,Modern Trade,SmallBrand,Soft Drinks,Herbal Tea,56446,18052,10.5,44.24,42.64,35.6,6.69,19.08,34.18,24.9,string_value,2021-08-01,85 kiloliters,New Segment
NORTH,Modern Trade,BigCo,WATER,Flavored Water,85604,13222,10.5,40.28,21.62,43.45,20.47,30.84,75.31,36.29,string_value,2020-12,70000 liters,New Flavor
CENTRAL,Traditional Trade,MegaBeverages,SOFT DRINKS,Diet Soda,48682,20826,0,89.91,55.02,46.7,8.32,4.58,53.19,38.72,500000.0,2021/11/15,85000 liters,Downsize
CENTRAL,Traditional Trade,SmallBrand,TEA,Flavored Water,50494,5475,10.5,77.66,53.85,16.37,1.54,27.58,29.13,40.61,300000.50,2021-08-01,85000 liters,New Segment
south,Modern Trade,MegaBeverages,SOFT DRINKS,Diet Soda,87631,4628,10.5,43.06,31.05,6.79,21.28,39.89,28.49,49.27,string_value,2020-12,70 kiloliters,Repackage
central,Modern Trade,BigCo,Water,Herbal Tea,108573,10558,unknown,48.86,73.5,11.85,19.7,31.65,29.66,29.3,100000,August 2021,70 kiloliters,Upsize
south,Modern Trade,MegaBeverages,soft drinks,Diet Soda,43133,7867,-2.5,86.05,54.49,38.81,12.91,13.04,45.1,34.43,500000.0,2021/11/15,85 kiloliters,Repackage
NORTH,Traditional Trade,BigCo,Tea,Sparkling Water,40981,20884,-2.5,61.77,43.73,48.57,16.24,12.56,62.56,34.64,300000.50,2021-08-01,85000 liters,Downsize
central,Traditional Trade,MegaBeverages,Tea,Diet Soda,32833,20814,5.0,76.94,30.28,23.32,28.47,27.35,63.91,34.71,100000,August 2021,85000 liters,Downsize
NORTH,Traditional Trade,BigCo,WATER,Sparkling Water,30277,9944,5.0,52.28,58.65,15.27,18.26,36.04,64.52,47.15,100000,2021/11/15,70 kiloliters,Completely New
CENTRAL,Traditional Trade,FreshDrinks,soft drinks,Herbal Tea,72786,12584,15.0,56.69,72.7,21.46,20.08,23.96,66.93,38.71,300000.50,2022-03,70000 liters,New Flavor
north,Modern Trade,MegaBeverages,Soft Drinks,Herbal Tea,31947,14710,15.0,99.35,39.74,15.24,2.85,22.04,34.06,36.26,500000.0,August 2021,70000 liters,New Flavor
CENTRAL,Modern Trade,FreshDrinks,SOFT DRINKS,Flavored Water,88875,11527,0,47.33,35.32,12.82,5.81,8.09,51.96,32.04,100000,2022-03,85000 liters,Upsize
north,Modern Trade,FreshDrinks,TEA,Sparkling Water,40225,15335,15.0,65.45,56.54,29.69,9.73,29.19,43.06,37.18,1200000,2021-08-01,85000 liters,New Flavor
north,Modern Trade,MegaBeverages,water,Sparkling Water,37965,13507,-2.5,89.11,30.87,0.79,16.64,28.69,76.71,48.99,300000.50,2020-12,85 kiloliters,New Flavor
central,Modern Trade,FreshDrinks,Soft Drinks,Green Tea,39149,14916,10.5,46.75,66.66,12.98,23.52,38.74,59.48,23.84,300000.50,2021-08-01,85 kiloliters,New Segment
north,Modern Trade,BigCo,tea,Green Tea,72848,13538,unknown,59.06,62.37,33.07,10.32,13.41,22.34,42.88,string_value,August 2021,70 kiloliters,Upsize
north,Traditional Trade,MegaBeverages,tea,Green Tea,50487,16207,unknown,73.06,26.1,1.6,11.34,30.74,24.35,41.65,500000.0,2022-03,85000 liters,Upsize
North,Traditional Trade,BigCo,tea,Diet Soda,101811,14883,-2.5,63.68,22.56,4.16,8.43,18.49,28.2,49.01,1200000,2022-03,70000 liters,Upsize
Central,Modern Trade,SmallBrand,Soft Drinks,Green Tea,58898,16273,15.0,62.17,63.42,14.67,8.38,23.22,33.37,34.03,1200000,2021/11/15,85 kiloliters,New Flavor
Central,Modern Trade,BigCo,SOFT DRINKS,Sparkling Water,60693,10861,5.0,55.38,40.6,43.89,28.52,33.03,51.2,20.86,string_value,2021-08-01,70 kiloliters,Upsize
North,Traditional Trade,MegaBeverages,soft drinks,Diet Soda,41944,20367,unknown,71.07,26.05,38.24,19.43,10.44,46.29,31.93,100000,2021-08-01,70 kiloliters,Downsize
North,Traditional Trade,FreshDrinks,soft drinks,Herbal Tea,38556,22941,5.0,73.71,73.16,1.11,5.52,15.03,26.1,36.64,100000,August 2021,70000 liters,New Flavor
central,Traditional Trade,MegaBeverages,Soft Drinks,Flavored Water,87244,11966,0,75.73,41.98,25.09,21.95,31.39,44.56,24.8,1200000,2022-03,85 kiloliters,Completely New
CENTRAL,Traditional Trade,BigCo,Soft Drinks,Green Tea,75568,17225,-2.5,34.93,52.17,13.73,21.94,23.68,47.4,49.01,500000.0,August 2021,70000 liters,Upsize
NORTH,Modern Trade,MegaBeverages,SOFT DRINKS,Herbal Tea,35568,14360,15.0,74.17,36.58,32.43,20.33,5.51,51.81,40.19,100000,August 2021,70 kiloliters,Completely New
north,Modern Trade,FreshDrinks,SOFT DRINKS,Sparkling Water,51172,12924,15.0,96.73,63.91,36.08,4.91,18.35,73.93,47.78,300000.50,2022-03,85000 liters,New Flavor
NORTH,Modern Trade,FreshDrinks,soft drinks,Flavored Water,48318,17858,0,67.87,41.1,43.14,12.83,24.29,47.45,40.5,string_value,August 2021,70000 liters,New Segment
SOUTH,Modern Trade,MegaBeverages,tea,Herbal Tea,34229,23681,15.0,80.07,87.76,23.77,4.1,36.56,28.52,26.57,500000.0,2022-03,70 kiloliters,Downsize
Central,Modern Trade,MegaBeverages,Soft Drinks,Flavored Water,43981,11818,-2.5,68.97,69.21,49.72,24.68,9.16,49.03,30.0,100000,August 2021,85000 liters,Repackage
South,Traditional Trade,MegaBeverages,water,Green Tea,36046,30370,10.5,89.83,29.57,49.0,20.0,32.63,45.8,28.32,1200000,2020-12,85000 liters,Downsize
Central,Modern Trade,FreshDrinks,Tea,Sparkling Water,40333,14324,unknown,95.07,49.17,44.11,15.71,6.96,49.48,44.8,string_value,August 2021,85 kiloliters,Completely New
CENTRAL,Traditional Trade,MegaBeverages,soft drinks,Flavored Water,51368,27395,5.0,42.9,46.98,28.74,10.95,11.2,24.19,30.93,100000,August 2021,85 kiloliters,Downsize
Central,Modern Trade,MegaBeverages,Water,Herbal Tea,66756,10831,10.5,60.58,57.4,19.9,6.34,11.25,24.58,43.71,1200000,2020-12,70 kiloliters,New Segment
central,Modern Trade,BigCo,soft drinks,Green Tea,65253,15351,0,57.47,78.94,18.22,4.09,35.34,25.35,43.15,100000,2021-08-01,70000 liters,Repackage
CENTRAL,Modern Trade,BigCo,water,Green Tea,57002,21204,10.5,58.37,60.84,0.61,29.11,9.56,27.58,42.49,string_value,2022-03,85000 liters,New Segment
CENTRAL,Modern Trade,BigCo,water,Herbal Tea,31017,20173,15.0,38.79,24.31,12.46,6.79,31.9,24.84,27.26,300000.50,2021/11/15,85 kiloliters,Downsize
Central,Modern Trade,BigCo,WATER,Herbal Tea,36880,10478,5.0,86.95,65.88,35.94,2.74,19.55,75.38,25.56,300000.50,2020-12,85 kiloliters,New Flavor
south,Traditional Trade,MegaBeverages,water,Flavored Water,52405,11979,5.0,32.5,20.58,30.18,28.89,39.97,33.52,41.02,1200000,2021-08-01,70000 liters,Repackage
North,Traditional Trade,FreshDrinks,tea,Diet Soda,109983,16512,0,66.98,74.6,45.82,16.92,33.89,46.44,48.58,300000.50,August 2021,85 kiloliters,Upsize
North,Traditional Trade,BigCo,TEA,Green Tea,28816,16347,5.0,76.33,66.66,2.5,24.1,30.11,38.98,42.37,string_value,2021-08-01,70 kiloliters,Downsize
SOUTH,Modern Trade,SmallBrand,WATER,Flavored Water,69767,19368,5.0,44.52,41.61,7.76,2.27,35.09,30.64,44.68,1200000,2020-12,70000 liters,New Flavor
SOUTH,Modern Trade,BigCo,soft drinks,Herbal Tea,77670,12255,10.5,93.41,40.47,39.46,17.44,26.09,24.93,22.99,100000,August 2021,85000 liters,Upsize
South,Traditional Trade,FreshDrinks,Water,Flavored Water,43321,21136,-2.5,88.7,75.88,17.93,12.55,34.06,30.92,48.05,500000.0,2021-08-01,70 kiloliters,Downsize
SOUTH,Modern Trade,FreshDrinks,tea,Herbal Tea,49048,23691,10.5,62.98,74.83,5.92,23.39,11.92,31.28,31.68,100000,2021/11/15,85000 liters,Downsize
CENTRAL,Modern Trade,MegaBeverages,Soft Drinks,Sparkling Water,130936,15232,-2.5,58.78,44.66,49.82,2.11,5.71,52.84,23.45,string_value,2022-03,85000 liters,Upsize
NORTH,Traditional Trade,BigCo,tea,Herbal Tea,55223,18425,-2.5,46.56,40.93,39.36,12.65,25.41,32.59,22.41,1200000,2022-03,85 kiloliters,New Flavor
Central,Modern Trade,FreshDrinks,Tea,Herbal Tea,94338,17115,-2.5,81.1,59.19,20.44,24.17,18.52,33.38,32.67,100000,2020-12,70 kiloliters,Upsize
NORTH,Traditional Trade,MegaBeverages,soft drinks,Herbal Tea,46982,15188,-2.5,39.22,20.59,41.17,16.16,18.2,60.37,34.97,1200000,August 2021,70 kiloliters,New Segment
North,Modern Trade,SmallBrand,WATER,Diet Soda,63162,16785,5.0,77.62,25.79,34.03,16.95,22.02,75.9,27.57,300000.50,August 2021,70000 liters,New Flavor
SOUTH,Traditional Trade,MegaBeverages,Water,Herbal Tea,52139,25589,5.0,88.97,28.83,39.5,3.82,15.73,66.34,32.74,500000.0,2022-03,70 kiloliters,Downsize
central,Modern Trade,SmallBrand,water,Green Tea,41714,16461,15.0,45.99,32.98,40.76,4.84,25.79,34.76,23.18,string_value,2021-08-01,70000 liters,Downsize
SOUTH,Modern Trade,BigCo,water,Green Tea,40192,13511,5.0,90.65,55.84,4.24,20.63,3.16,53.15,35.03,100000,August 2021,70 kiloliters,Completely New
Central,Traditional Trade,FreshDrinks,SOFT DRINKS,Flavored Water,58557,18420,5.0,32.33,89.46,31.15,20.58,38.86,71.64,39.28,500000.0,2021/11/15,85000 liters,New Flavor
NORTH,Modern Trade,FreshDrinks,Soft Drinks,Diet Soda,63859,17138,5.0,93.9,65.68,0.34,29.39,37.14,42.27,41.24,string_value,2021/11/15,70000 liters,New Flavor
South,Modern Trade,FreshDrinks,Soft Drinks,Flavored Water,47930,20084,15.0,38.29,24.29,2.17,21.65,37.54,67.49,21.21,string_value,August 2021,70 kiloliters,Downsize
South,Traditional Trade,BigCo,Tea,Green Tea,41297,24855,5.0,75.2,56.79,45.2,15.3,15.87,24.77,24.55,300000.50,August 2021,70000 liters,Downsize
NORTH,Modern Trade,FreshDrinks,SOFT DRINKS,Green Tea,88151,15664,5.0,47.51,54.77,26.38,25.86,22.21,59.64,46.09,1200000,2022-03,85 kiloliters,New Flavor
North,Traditional Trade,MegaBeverages,Water,Sparkling Water,42530,19935,-2.5,88.56,30.09,36.8,4.03,38.26,42.4,47.02,1200000,2020-12,85 kiloliters,Repackage
NORTH,Modern Trade,FreshDrinks,Tea,Herbal Tea,108868,5371,-2.5,65.86,84.42,41.93,14.03,36.29,46.18,24.82,500000.0,2022-03,70000 liters,Upsize
south,Modern Trade,MegaBeverages,water,Green Tea,81747,9639,10.5,39.47,50.85,47.48,9.33,32.03,27.08,48.44,300000.50,2020-12,70000 liters,Upsize
Central,Modern Trade,TinyStartups,water,Flavored Water,123690,14692,5.0,69.97,89.62,43.47,4.03,17.48,20.11,24.49,string_value,2021/11/15,85000 liters,Upsize
South,Modern Trade,BigCo,SOFT DRINKS,Flavored Water,69215,8940,-2.5,58.55,49.41,24.17,23.14,23.44,32.02,37.26,300000.50,2020-12,70 kiloliters,Repackage
Central,Traditional Trade,TinyStartups,Soft Drinks,Herbal Tea,76275,13439,0,76.3,62.56,16.8,15.81,32.13,44.03,40.97,300000.50,2022-03,85 kiloliters,New Flavor
South,Modern Trade,TinyStartups,water,Herbal Tea,30571,14795,-2.5,91.73,27.33,7.72,17.15,12.37,51.43,29.3,500000.0,August 2021,85 kiloliters,New Flavor
south,Traditional Trade,TinyStartups,WATER,Sparkling Water,75000,12993,5.0,58.66,51.8,20.02,12.93,25.81,26.26,32.26,1200000,2020-12,70 kiloliters,New Flavor
north,Modern Trade,MegaBeverages,Tea,Diet Soda,26936,18230,10.5,50.29,36.71,18.32,14.35,33.46,40.95,26.32,300000.50,2022-03,85 kiloliters,Downsize
CENTRAL,Modern Trade,MegaBeverages,SOFT DRINKS,Flavored Water,68695,11924,15.0,31.02,78.49,27.98,4.36,28.88,49.37,48.21,300000.50,2021/11/15,85 kiloliters,Repackage
South,Modern Trade,SmallBrand,Tea,Herbal Tea,58718,17227,15.0,70.24,74.87,33.28,20.51,20.22,32.77,21.92,300000.50,2020-12,70000 liters,Upsize
South,Modern Trade,BigCo,tea,Flavored Water,50645,27562,10.5,58.16,77.69,48.92,13.54,24.22,41.63,40.02,100000,2021/11/15,85 kiloliters,New Flavor
north,Traditional Trade,MegaBeverages,Tea,Herbal Tea,46923,14402,10.5,56.23,70.65,36.42,24.69,39.57,48.45,42.84,300000.50,2021/11/15,85 kiloliters,New Flavor
NORTH,Traditional Trade,FreshDrinks,Water,Green Tea,34165,8094,-2.5,42.81,78.29,32.19,6.69,24.88,47.57,47.66,300000.50,2021-08-01,85 kiloliters,Downsize
central,Traditional Trade,FreshDrinks,Tea,Flavored Water,36716,13594,5.0,60.1,34.06,16.75,6.95,31.85,31.8,23.49,string_value,2020-12,70 kiloliters,New Flavor
south,Traditional Trade,BigCo,Tea,Green Tea,52584,17966,5.0,98.91,51.64,1.73,19.73,29.61,40.54,27.49,100000,2022-03,85000 liters,Repackage
CENTRAL,Modern Trade,FreshDrinks,WATER,Flavored Water,33321,17416,10.5,50.84,68.43,14.41,25.53,28.66,60.06,24.77,300000.50,2020-12,70000 liters,New Flavor
South,Traditional Trade,TinyStartups,Soft Drinks,Diet Soda,42170,20474,10.5,71.98,64.62,38.42,14.69,29.22,51.56,30.63,300000.50,2020-12,85000 liters,New Flavor
