Region,Sales Channel,Company/Provider,Category,Segment,Volume Sales (Liters),Avg Price Per Liter (VND),Growth Rate (%),Numeric Distribution (%),Weighted Distribution (%),Out-of-Stock Rate (%),Market Share (%),Share of Shelf (%),Trial Rate (%),Repeat Rate (%),Sales Value (USD),Time,Volume Sales
CENTRAL RURAL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,N/A,50000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,2020-10-01 00:00:00,80000 liters
SOUTH RURAL,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,NULL,3,70,75,6.0,20,30,50,40,28160.42,nan,70000 liters
central rural,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,January 2024,50.0 kiloliters
south rural,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2021-08-01 00:00:00,70.0 kiloliters
north rural,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,2024-06-01 00:00:00,100.0 kiloliters
central urban,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2022-06-01 00:00:00,80.0 kiloliters
NORTH RURAL,Traditional Trade,Cora Cale,WATER,Flavored Aqua,NULL,8815,7,80,85,5.0,25,35,50,40,36729.17,2023-06-01 00:00:00,NULL liters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2022-12-01 00:00:00,100.0 kiloliters
south urban,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,nan,,150.0 kiloliters
north urban,Modern Trade,Vinalac,Nan,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2020-12-01 00:00:00,120.0 kiloliters
SOUTH RURAL,Traditional Trade,Small Co B,Carbonated Soft Drinks,Pure Aqua,47219,,-7,47,25,15.0,4,6,26,9,888.87,October 2021,47219 liters
CENTRAL RURAL,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,,8951,6,65,70,7.0,15,25,40,30,18647.92,2022-11-01 00:00:00, liters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,nan,2022-02-01 00:00:00,50000 liters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2020-12-01 00:00:00,80000 liters
CENTRAL RURAL,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2022-04-01 00:00:00,50.0 kiloliters
central rural,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,,2023-02-01 00:00:00,50000 liters
,Modern Trade,URZ,Juices,URZ Prime,N/A,9958,unknown,95,98,3.0,35,45,60,50,62237.5,January 2025,N/A
NORTH RURAL,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2023-09-01 00:00:00,100000 liters
N/A,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,nan,8504,8,95,98,3.0,35,45,60,50,53150.0,April 2023,nan liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,unknown,75,80,6.0,20,30,45,35,26996.67,March 2024,80.0 kiloliters
NORTH URBAN,Modern Trade,URZ,Snack Drinks,CeeTwo,,9010,5,90,95,79.96173676487042,30,40,55,45,45050.0,2023-01-01 00:00:00, liters
central urban,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,September 2021,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,nan,4,75,80,6.0,20,30,45,35,28126.67,2021-11-01 00:00:00,80.0 kiloliters
south urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2020-02-01 00:00:00,150000 liters
SOUTH RURAL,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,28160.42,nan,70.0 kiloliters
central urban,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,,75,80,6.0,20,30,45,35,,2023-12-01 00:00:00,80000 liters
south urban,Modern Trade,URZ,Juices,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,October 2023,150.0 kiloliters
NORTH URBAN,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2020-01-01 00:00:00,120.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,NAN,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,2021-06-01 00:00:00,50.0 kiloliters
central urban,Modern Trade,URZ,N/A,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,2021-08-01 00:00:00,80000 liters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,,9362,unknown,65,70,7.0,15,25,40,30,19504.17,NULL,
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,53150.0,NULL,150000 liters
south rural,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2021-08-01 00:00:00,70000 liters
NORTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,unknown,90,95,4.0,30,40,55,45,43010.0,2023-09-01 00:00:00,120000 liters
south rural,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,unknown,70,75,6.0,20,30,50,40,25727.92,2020-06-01 00:00:00,70.0 kiloliters
north urban,Modern Trade,Cora Cale,NULL,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,August 2024,120000 liters
south rural,Traditional Trade,Tran Hip Pat,JUICES,THP Prime,nan,nan,3,70,75,6.0,20,30,50,40,23423.75,March 2023,nan
central urban,Modern Trade,URZ,Water,Great Aqua,80000,nan,unknown,75,80,6.0,20,30,45,35,33073.33,2023-11-01 00:00:00,80000 liters
CENTRAL RURAL,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,2020-03-01 00:00:00,50000 liters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,April 2021,80000 liters
SOUTH RURAL,Traditional Trade,Vinalac,Milk Tea,Vinalac Prime Tea,N/A,9655,3,70,75,6.0,20,30,50,40,28160.42,2024-02-01 00:00:00,N/A liters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,October 2020,80.0 kiloliters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,7,80,85,5.0,25,35,50,40,39733.33,2020-08-01 00:00:00,100.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,Juices,URZ Prime,150000,9958,unknown,95,98,3.0,35,45,60,50,62237.5,,150000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,JUICES,Tropicola,80000,8099,4,75,80,6.0,20,30,45,35,26996.67,2023-10-01 00:00:00,80000 liters
n/a,Modern Trade,URZ,Water,Great Aqua,80000,,4,75,80,63.6500004561853,20,30,45,35,33073.33,2021-11-01 00:00:00,80000 liters
SOUTH URBAN,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,,95,98,3.0,35,45,60,50,53150.0,June 2023,150000 liters
north urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2022-10-01 00:00:00,120.0 kiloliters
CENTRAL URBAN,Modern Trade,URZ,Water,Great Aqua,80000,9922,unknown,75,80,6.0,20,30,45,35,33073.33,June 2024,80.0 kiloliters
CENTRAL URBAN,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,2023-06-01 00:00:00,80.0 kiloliters
south urban,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,150000,9339,8,95,98,56.96742271756516,35,45,60,50,58368.75,March 2023,150000 liters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,,,75,80,6.0,20,30,45,35,28126.67,2024-07-01 00:00:00,80000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,June 2021,120000 liters
south urban,Modern Trade,Vinalac,YOGURT DRINKS,Probee Light,150000,,unknown,95,98,3.0,35,45,60,50,60806.25,November 2021,150000 liters
SOUTH RURAL,Traditional Trade,Sentry Pepso,Juices,Tropicola Bliss,70000,N/A,3,70,75,6.0,20,30,50,40,26731.25,October 2020,70000 liters
south rural,Traditional Trade,Sentry Pepso,Juices,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,2023-07-01 00:00:00,70.0 kiloliters
NULL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2023-12-01 00:00:00,50000 liters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,6,65,70,7.0,15,25,40,30,20664.58,2023-11-01 00:00:00,50000 liters
NORTH RURAL,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2020-11-01 00:00:00,100.0 kiloliters
north rural,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,nan,80,85,5.0,25,35,50,40,36729.17,2022-12-01 00:00:00,100.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2021-03-01 00:00:00,100.0 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,nan,9520,unknown,80,85,5.0,25,35,50,40,nan,2023-07-01 00:00:00,nan liters
CENTRAL RURAL,Traditional Trade,Vinalac,,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2023-09-01 00:00:00,50.0 kiloliters
NORTH RURAL,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,7,80,85,5.0,25,35,50,40,35708.33,N/A,100.0 kiloliters
central rural,Traditional Trade,URZ,Snack Drinks,CeeTwo Light,50000,9048,6,65,70,7.0,15,25,40,30,18850.0,N/A,50000 liters
SOUTH URBAN,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,,2020-02-01 00:00:00,150000 liters
NORTH URBAN,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,NULL,March 2022,120.0 kiloliters
,Modern Trade,Tran Hip Pat,Energy Drinks,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,December 2023,150000 liters
north rural,Traditional Trade,Sentry Pepso,WATER,Aquavena,NULL,8570,7,80,85,5.0,25,35,50,40,N/A,2021-07-01 00:00:00,NULL liters
south rural,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,unknown,70,75,6.0,20,30,50,40,28160.42,September 2020,70.0 kiloliters
north urban,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,120000,8115,nan,90,95,4.0,30,40,55,45,40575.0,2021-07-01 00:00:00,120000 liters
north urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,NULL,120.0 kiloliters
north rural,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2020-12-01 00:00:00,100000 liters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,February 2020,70000 liters
central rural,Modern Trade,Small Co F,SNACK DRINKS,Tea Tonic,10884,9714,-7,11,31,5.0,1,4,19,7,2725.69,2022-07-01 00:00:00,10884 liters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,9729,8,95,98,3.0,35,45,60,50,60806.25,2023-12-01 00:00:00,150.0 kiloliters
central urban,Traditional Trade,Small Co J,MILK TEA,Healthy Sip,46922,nan,5,14,49,20.0,1,3,13,5,782.23,nan,46.922 kiloliters
NULL,Modern Trade,URZ,Water,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,nan,2024-03-01 00:00:00,80.0 kiloliters
NORTH URBAN,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,120000,,5,90,95,74.57074675472447,30,40,55,45,43010.0,NULL,120000 liters
north rural,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,2024-07-01 00:00:00,100000 liters
central urban,Modern Trade,Sentry Pepso,Null,Tropicola,80000,8099,unknown,75,80,6.0,20,30,45,35,26996.67,2020-06-01 00:00:00,80000 liters
SOUTH RURAL,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,unknown,70,75,6.0,20,30,50,40,26731.25,2023-06-01 00:00:00,70.0 kiloliters
NORTH RURAL,Traditional Trade,Vinalac,NULL,Probee,100000,9536,unknown,80,85,5.0,25,35,50,40,39733.33,2020-06-01 00:00:00,100000 liters
south rural,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,NULL,70,75,6.0,20,30,50,40,nan,2020-01-01 00:00:00,70.0 kiloliters
central rural,Traditional Trade,Tran Hip Pat,HERBAL TEA,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,2020-04-01 00:00:00,50000 liters
CENTRAL URBAN,Modern Trade,Sentry Pepso,Juices,Tropicola,80000,8099,unknown,75,80,56.6061099062673,20,30,45,35,26996.67,October 2023,80.0 kiloliters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,2020-08-01 00:00:00,120000 liters
,Traditional Trade,Tran Hip Pat,Herbal Tea,Dr Tien Light,50000,8951,6,65,70,7.0,15,25,40,30,18647.92,June 2021,50.0 kiloliters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,2024-12-01 00:00:00,50000 liters
north rural,Traditional Trade,URZ,JUICES,URZ Fresh,nan,NULL,7,80,85,5.0,25,35,50,40,36304.17,2021-01-01 00:00:00,nan
SOUTH URBAN,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Classic,150000,8864,8,95,98,3.0,35,45,60,50,55400.0,July 2022,150000 liters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,150000,N/A,,95,98,3.0,35,45,60,50,60806.25,September 2021,150.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,unknown,65,70,7.0,15,25,40,30,20239.58,2022-06-01 00:00:00,50000 liters
central urban,Modern Trade,Tran Hip Pat,JUICES,THP Fresh,80000,8438,4,75,80,6.0,20,30,45,35,28126.67,N/A,80.0 kiloliters
north rural,Traditional Trade,Vinalac,YOGURT DRINKS,Probee,100000,9536,7,80,85,55.98281212017534,25,35,50,40,39733.33,2022-09-01 00:00:00,100000 liters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,,90,95,4.0,30,40,55,45,43790.0,2024-05-01 00:00:00,120000 liters
NULL,Traditional Trade,Vinalac,Yogurt Drinks,Probee,100000,9536,7,80,85,81.78970733811707,25,35,50,40,39733.33,2020-05-01 00:00:00,100000 liters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2022-12-01 00:00:00,120000 liters
north rural,Modern Trade,Small Co D,JUICES,Juice Bliss,9853,9105,-6,46,44,12.0,2,10,18,14,4653.17,August 2020,9.853 kiloliters
north rural,Modern Trade,Small Co F,SNACK DRINKS,Tea Tonic,37689,9824,0,32,38,6.0,4,7,17,6,4164.66,2024-05-01 00:00:00,37.689 kiloliters
north rural,Traditional Trade,URZ,JUICES,URZ Fresh,100000,8713,unknown,80,85,5.0,25,35,50,40,36304.17,December 2024,100000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,unknown,90,95,4.0,30,40,55,45,43790.0,2021-01-01 00:00:00,120000 liters
NAN,Modern Trade,Sentry Pepso,Null,Pepso Zero,120000,NULL,5,90,95,4.0,30,40,55,45,43010.0,2021-09-01 00:00:00,120.0 kiloliters
south urban,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,8,95,98,3.0,35,45,60,50,53150.0,2022-12-01 00:00:00,150.0 kiloliters
SOUTH RURAL,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,unknown,70,75,6.0,20,30,50,40,23423.75,N/A,70.0 kiloliters
NORTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Lite Soda,120000,8115,unknown,90,95,4.0,30,40,55,45,N/A,November 2023,120000 liters
north rural,Traditional Trade,Cora Cale,WATER,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,2023-04-01 00:00:00,100.0 kiloliters
central rural,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,50000,9715,N/A,65,70,7.0,15,25,40,30,20239.58,NULL,50000 liters
south rural,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,2020-07-01 00:00:00,70000 liters
SOUTH RURAL,Traditional Trade,Vinalac,MILK TEA,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,,70.0 kiloliters
north rural,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2020-01-01 00:00:00,100000 liters
north rural,Traditional Trade,URZ,Juices,URZ Fresh,100000,8713,7,80,85,5.0,25,35,50,40,36304.17,2020-11-01 00:00:00,100.0 kiloliters
SOUTH RURAL,Traditional Trade,Cora Cale,JUICES,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,,2020-04-01 00:00:00,70.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,October 2023,50.0 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,NULL,100.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,JUICES,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,2021-10-01 00:00:00,150000 liters
north urban,Modern Trade,Vinalac,Milk,Vinalac Pure,120000,8838,unknown,90,95,4.0,30,40,55,45,44190.0,2020-10-01 00:00:00,120.0 kiloliters
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,N/A,8864,unknown,95,98,3.0,35,45,60,50,55400.0,nan,N/A
north rural,Traditional Trade,Tran Hip Pat,Energy Drinks,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2021-11-01 00:00:00,100.0 kiloliters
n/a,Traditional Trade,URZ,SNACK DRINKS,CeeTwo Light,,9048,6,65,70,7.0,15,25,40,30,18850.0,September 2023, liters
NORTH URBAN,Modern Trade,URZ,SNACK DRINKS,CeeTwo,120000,9010,5,90,95,4.0,30,40,55,45,45050.0,August 2020,120000 liters
NORTH RURAL,Traditional Trade,Sentry Pepso,Water,Aquavena,100000,8570,unknown,80,85,5.0,25,35,50,40,35708.33,January 2024,100.0 kiloliters
central urban,Modern Trade,URZ,N/A,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2022-08-01 00:00:00,80.0 kiloliters
north urban,Modern Trade,Vinalac,NULL,Vinalac Pure,120000,8838,5,90,95,4.0,30,40,55,45,44190.0,2023-07-01 00:00:00,120000 liters
,Traditional Trade,Cora Cale,Juices,Nectar Bliss,70000,8821,3,70,75,6.0,20,30,50,40,25727.92,nan,70000 liters
SOUTH URBAN,Modern Trade,Cora Cale,CARBONATED SOFT DRINKS,Classic Soda,NULL,N/A,8,95,98,3.0,35,45,60,50,58368.75,2021-05-01 00:00:00,NULL
NAN,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,unknown,80,85,5.0,25,35,50,40,39666.67,2024-02-01 00:00:00,100000 liters
CENTRAL URBAN,Modern Trade,URZ,Water,Great Aqua,80000,9922,nan,75,80,6.0,20,30,45,35,33073.33,2021-01-01 00:00:00,80000 liters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,unknown,90,95,4.0,30,40,55,45,43010.0,July 2023,120000 liters
central rural,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,nan,6,65,70,7.0,15,25,40,30,20664.58,2021-04-01 00:00:00,50.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,Juices,URZ Prime,150000,9958,unknown,95,98,3.0,35,45,60,50,62237.5,2021-01-01 00:00:00,150.0 kiloliters
south urban,Modern Trade,URZ,,URZ Prime,150000,9958,8,95,98,3.0,35,45,60,50,62237.5,NULL,150000 liters
SOUTH RURAL,Traditional Trade,Sentry Pepso,JUICES,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,2020-07-01 00:00:00,70.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,ENERGY DRINKS,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,2021-12-01 00:00:00,50000 liters
north urban,Modern Trade,Sentry Pepso,CARBONATED SOFT DRINKS,Pepso Zero,NULL,8602,unknown,90,95,63.474926014937154,30,40,55,45,43010.0,2023-09-01 00:00:00,NULL liters
central rural,Traditional Trade,Sentry Pepso,Energy Drinks,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,December 2022,50000 liters
south rural,Traditional Trade,Tran Hip Pat,Juices,THP Prime,70000,8031,3,70,75,6.0,20,30,50,40,23423.75,2021-01-01 00:00:00,70.0 kiloliters
CENTRAL RURAL,Traditional Trade,Vinalac,MILK,Vinalac Sweet,nan,9362,nan,65,70,7.0,15,25,40,30,19504.17,2020-08-01 00:00:00,nan
north urban,Modern Trade,Vinalac,MILK,Vinalac Pure,120000,8838,unknown,90,95,67.2018525742522,30,40,55,45,44190.0,December 2021,120.0 kiloliters
south rural,Traditional Trade,Vinalac,Nan,Vinalac Prime Tea,70000,9655,3,70,75,6.0,20,30,50,40,28160.42,2022-04-01 00:00:00,70.0 kiloliters
NORTH RURAL,Traditional Trade,URZ,Juices,URZ Fresh,nan,8713,unknown,80,85,5.0,25,35,50,40,36304.17,2024-01-01 00:00:00,nan
SOUTH URBAN,Modern Trade,Cora Cale,Carbonated Soft Drinks,Classic Soda,150000,9339,8,95,98,3.0,35,45,60,50,58368.75,2023-06-01 00:00:00,150.0 kiloliters
NORTH RURAL,Traditional Trade,Tran Hip Pat,ENERGY DRINKS,Numba One,100000,9520,7,80,85,5.0,25,35,50,40,39666.67,2021-05-01 00:00:00,100.0 kiloliters
SOUTH URBAN,Modern Trade,URZ,JUICES,URZ Prime,150000,NULL,unknown,95,98,3.0,35,45,60,50,62237.5,2023-03-01 00:00:00,150.0 kiloliters
central urban,Modern Trade,Vinalac,Milk Tea,Vinalac Tea,80000,nan,unknown,75,80,6.0,20,30,45,35,28256.67,nan,80000 liters
NORTH URBAN,Modern Trade,Cora Cale,Null,Lite Soda,120000,8115,5,90,95,4.0,30,40,55,45,40575.0,2022-12-01 00:00:00,120000 liters
CENTRAL URBAN,Modern Trade,URZ,WATER,Great Aqua,80000,9922,4,75,80,6.0,20,30,45,35,33073.33,2020-06-01 00:00:00,80000 liters
SOUTH RURAL,Traditional Trade,URZ,WATER,Great Elite,70000,9991,unknown,70,75,6.0,20,30,50,40,29140.42,2020-10-01 00:00:00,70.0 kiloliters
central rural,Traditional Trade,Vinalac,MILK,Vinalac Sweet,50000,9362,6,65,70,7.0,15,25,40,30,19504.17,2020-06-01 00:00:00,50000 liters
NAN,Modern Trade,Tran Hip Pat,ENERGY DRINKS,Numba One Power,150000,8504,unknown,95,98,3.0,35,45,60,50,53150.0,2021-06-01 00:00:00,150000 liters
NORTH URBAN,Modern Trade,Tran Hip Pat,HERBAL TEA,Dr Tien,120000,8758,unknown,90,95,4.0,30,40,55,45,43790.0,December 2022,120.0 kiloliters
CENTRAL RURAL,Traditional Trade,Cora Cale,Energy Drinks,Energy Boost,50000,9715,6,65,70,7.0,15,25,40,30,20239.58,2020-03-01 00:00:00,50000 liters
NORTH RURAL,Traditional Trade,Cora Cale,Water,Flavored Aqua,100000,8815,nan,80,85,5.0,25,35,50,40,36729.17,2023-08-01 00:00:00,100.0 kiloliters
CENTRAL URBAN,Modern Trade,URZ,Water,Great Aqua,N/A,9922,unknown,75,80,6.0,20,30,45,35,33073.33,2022-01-01 00:00:00,N/A liters
central urban,Modern Trade,Tran Hip Pat,Juices,THP Fresh,80000,8438,unknown,75,80,6.0,20,30,45,35,28126.67,2020-09-01 00:00:00,80.0 kiloliters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,nan,2024-10-01 00:00:00,80000 liters
south rural,Traditional Trade,Sentry Pepso,Juices,Tropicola Bliss,70000,9165,3,70,75,6.0,20,30,50,40,26731.25,February 2020,70.0 kiloliters
CENTRAL RURAL,Traditional Trade,Sentry Pepso,ENERGY DRINKS,Boostade,50000,9919,unknown,65,70,7.0,15,25,40,30,20664.58,2024-03-01 00:00:00,50.0 kiloliters
south urban,Modern Trade,Vinalac,Yogurt Drinks,Probee Light,nan,9729,8,95,98,3.0,35,45,60,50,60806.25,2023-01-01 00:00:00,nan liters
central urban,Modern Trade,Cora Cale,JUICES,Pure Juice,80000,8048,4,75,80,6.0,20,30,45,35,26826.67,2021-04-01 00:00:00,80000 liters
north urban,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Zero,120000,8602,5,90,95,4.0,30,40,55,45,43010.0,2024-12-01 00:00:00,120000 liters
north urban,Modern Trade,Vinalac,Nan,Vinalac Pure,120000,nan,5,90,95,4.0,30,40,55,45,44190.0,2021-09-01 00:00:00,120.0 kiloliters
NORTH RURAL,Traditional Trade,Cora Cale,,Flavored Aqua,100000,8815,7,80,85,5.0,25,35,50,40,36729.17,2022-11-01 00:00:00,100000 liters
north urban,Modern Trade,Tran Hip Pat,Herbal Tea,Dr Tien,120000,8758,5,90,95,4.0,30,40,55,45,43790.0,March 2021,120.0 kiloliters
SOUTH URBAN,Modern Trade,Sentry Pepso,Carbonated Soft Drinks,Pepso Classic,150000,8864,unknown,95,98,3.0,35,45,60,50,55400.0,2023-08-01 00:00:00,150000 liters
central urban,Modern Trade,Cora Cale,Juices,Pure Juice,80000,8048,unknown,75,80,6.0,20,30,45,35,26826.67,2020-02-01 00:00:00,80.0 kiloliters
